"Points:0","Points:1","Points:2"
-1.7798e+05,-2.2794e+06,0
-1.7807e+05,-2.2793e+06,0
-1.7816e+05,-2.2791e+06,0
-1.7825e+05,-2.279e+06,0
-1.7833e+05,-2.2789e+06,0
-1.7841e+05,-2.2788e+06,0
-1.7848e+05,-2.2787e+06,0
-1.7856e+05,-2.2786e+06,0
-1.7864e+05,-2.2785e+06,0
-1.7872e+05,-2.2784e+06,0
-1.788e+05,-2.2783e+06,0
-1.7888e+05,-2.2782e+06,0
-1.7897e+05,-2.2781e+06,0
-1.7905e+05,-2.278e+06,0
-1.7914e+05,-2.2779e+06,0
-1.7924e+05,-2.2778e+06,0
-1.7934e+05,-2.2777e+06,0
-1.7944e+05,-2.2776e+06,0
-1.7953e+05,-2.2775e+06,0
-1.7963e+05,-2.2774e+06,0
-1.7973e+05,-2.2773e+06,0
-1.7983e+05,-2.2772e+06,0
-1.7991e+05,-2.2771e+06,0
-1.8e+05,-2.277e+06,0
-1.801e+05,-2.2769e+06,0
-1.8019e+05,-2.2768e+06,0
-1.8028e+05,-2.2767e+06,0
-1.8037e+05,-2.2766e+06,0
-1.8048e+05,-2.2765e+06,0
-1.8057e+05,-2.2764e+06,0
-1.8066e+05,-2.2763e+06,0
-1.8075e+05,-2.2762e+06,0
-1.8084e+05,-2.2761e+06,0
-1.8094e+05,-2.276e+06,0
-1.8103e+05,-2.2759e+06,0
-1.8112e+05,-2.2758e+06,0
-1.8122e+05,-2.2757e+06,0
-1.8131e+05,-2.2756e+06,0
-1.8141e+05,-2.2755e+06,0
-1.8151e+05,-2.2754e+06,0
-1.8161e+05,-2.2753e+06,0
-1.817e+05,-2.2753e+06,0
-1.8178e+05,-2.2752e+06,0
-1.8187e+05,-2.2751e+06,0
-1.8196e+05,-2.275e+06,0
-1.8206e+05,-2.2749e+06,0
-1.8217e+05,-2.2748e+06,0
-1.8228e+05,-2.2747e+06,0
-1.824e+05,-2.2746e+06,0
-1.8251e+05,-2.2746e+06,0
-1.8262e+05,-2.2745e+06,0
-1.8273e+05,-2.2744e+06,0
-1.8284e+05,-2.2743e+06,0
-1.8296e+05,-2.2743e+06,0
-1.8307e+05,-2.2742e+06,0
-1.8319e+05,-2.2741e+06,0
-1.8331e+05,-2.2741e+06,0
-1.8343e+05,-2.274e+06,0
-1.8355e+05,-2.2739e+06,0
-1.8368e+05,-2.2739e+06,0
-1.838e+05,-2.2738e+06,0
-1.8393e+05,-2.2737e+06,0
-1.8407e+05,-2.2737e+06,0
-1.842e+05,-2.2736e+06,0
-1.8433e+05,-2.2735e+06,0
-1.8445e+05,-2.2735e+06,0
-1.8458e+05,-2.2734e+06,0
